Category,Note,Amoount
food,,800
transportation,,14900
food,,2200
food,,1000
food,,800
other,,3500
food,,11650
other,Lended money returned,5000
other,Lended money returned,7000
food,,5020
transportation,,2200
food,,660
food,,100
